Module,Enrichment_Number,Title,Description
Dynamic Earth,1,Normalizing Data,"Normalize the data to visualize the difference in planets' diameter in relation to Pluto and Earth."
Dynamic Earth,2,Reading and Review,"Read from the Module library or go back and complete a session you did not finish."
Dynamic Earth,3,Size of Earth,"Calculate the Earth's circumference in Egyptian stades two different ways. List reasons why the two calculations might be different."
Environmental Math,1,Distance Formula,"In this enrichment, the learner will use the distance formula to calculate the hypotenuse of a right triangle."
Environmental Math,2,Habitat Destruction,"In this enrichment, the learner will research and design an environmental study."
Environmental Math,3,Special Triangles,"In this enrichment, the learner will calculate the lengths of special triangles."
Factoring & Polynomials,1,Punnett Squares,"Write the possible genes of one parent across the top of the square and the genes of the other parent along the side of the square. Represent the male parent by writing a capital letter B above each column. Represent the female parent by writing a lowercase b next to each row."
Factoring & Polynomials,2,Roman Numerals,Find the value of the given Roman numbers.
Forensic Math,1,Blood Types,"The learner will discover that the human blood is unique and can be grouped in four different blood types. Determine the possible genotypes for parents with a child who has Type B blood. Determine the possible genotypes for parents of a Type A child and a Type AB child."
Forensic Math,2,Data Ratios,"The learner will discover that the DNA molecule is composed of phosphate, deoxyribose sugar, and one of four nitrogenous bases: adenine, guanine, thymine, and cytosine. Use the ratios of purines to pyrimidines and adenine to thymine to prove that A+C=T+G."
Forensic Math,3,Forensic Science Literature,"The learner will select and read a book from the school library or provided list that describes the use of forensic science. Written Response: Write about the use of forensic science in the book."
Geometric Packing v1.1,1,Distance,"Students will construct a right triangle to determine the distance between two given points (coordinates)."
Geometric Packing v1.1,2,Creating Nets,"After learning about nets, students will draw the net of a cube when given specific parameters. Students will also need to determine the overall length, width, and the amount of material that would be needed to make the pattern."
Geometric Packing v1.1,3,The Last Stone,"Using given information about the Pyramid of Giza, students will use the Pythagorean theorem to determine the distance the pyramid had to be moved."
Gravity of Algebra,1,Book reports,Students complete book reports on related topics.
Gravity of Algebra,2,Linear regression,Students practice linear regression analysis.
Gravity of Algebra,3,Energy graph,Students create and analyze energy graphs.
Gravity of Algebra,4,Point-slope to Y-intercept,Students practice converting between different forms of linear equations.
Heat and Energy v1.2,1,Heat Content,"Using obtained data, calculate the heat content for each of the fuels."
Heat and Energy v1.2,2,Hydrocarbon Formulas,Answer questions based on the provided formulas.
Heat and Energy v1.2,3,Methane Combustion,Use the molecular model kit to model different molecules.
Home Makeover,1,Ceiling Tile,Sketch a room and find its area.
Home Makeover,2,Trim,Exploring trim and perimeter.
Home Makeover,3,Wall Board,Reduce waste and finding area.
Hotel Management,1,Book reports,Students complete book reports on related topics.
Hotel Management,2,Average nightly costs,Students calculate and analyze average nightly costs.
Hotel Management,3,Cost-cutting alternatives,Students explore cost-cutting alternatives in hotel management.
Lenses and Optics,1,Image Size,"Given the distance of an object from a convex lens, students will calculate the how tall an object is if the lens is moved."
Lenses and Optics,2,Lens Formula,"Given the distance of an object from a convex lens, students will calculate the how tall an object is if the lens is moved."
Lenses and Optics,3,Missing Facts,Students will use the lens formula and the magnification formula to find the missing information of a given table.
Material Science,1,Mass of an Atom,Determine the approximate weight of one atom of each of the given isotopes.
Material Science,2,Molecular Weight,Use the atomic weight listed on the period table for each atom to determine the molecular weight of the molecules.
Material Science,3,Moles of Isotopes,Determine the number of electrons, protons, and neutrons in one mole of each of the isotopes listed.
Math Behind Your Meals,1,Holiday Meal Planning,"Teacher will give specific items/ingredients for the meal (Thanksgiving Meal, etc.)"
Math Behind Your Meals,2,Menu Creation,Students will create a menu for a holiday meal using the information provided by the teacher.
Microbiology,1,Concept Summary,Write a one-paragraph summary of a concept you learned in this Module.
Microbiology,2,Book Report,Students complete book reports on microbiology topics.
Microbiology,3,Internet Exploration,Students conduct internet exploration on microbiology topics.
Natural Disasters,1,Concept Summary,"Write a one-paragraph summary of a concept you learned in this module. The paragraph should include: A description of the activity that introduced or used the concept. An explanation of the concept. Additional information you would like to learn about the concept."
Natural Disasters,2,Home Disaster Plan,"Prepare a disaster plan for your home and family: Choose the disaster most likely to happen in your area. Any disaster preparedness plan should have three parts: what to do before, during, and after the disaster."
Plants & Pollination,1,Giant Sequoias,Determine how much would the diameter of a tree increase each year when given specific circumstances.
Plants & Pollination,2,Photosynthesis,How many molecules of each compound are needed to balance the photosynthesis equation?
Plants & Pollination,3,Rootless Duckweed,Solve problems based on given scenarios.
